name,pz_C2_pop,px_O_pop,NBO_C_diazo,NBO_N1,NBO_N2,NBO_C_carbonyl,NBO_O,HOMO,ΔG,ΔG_fromAdd,adduct,ΔG-ΔG_O,ΔG_O,ΔG_C_fromDiazo,ΔG_C,ΔG-ΔG_C,BCl3_Role,ΔΔG,Overall performance
21_4,1.2084700000000002,1.8512099999999998,0.349,0.006,0.08900000000000001,0.47600000000000003,-0.573,-8.196,19.57,26.11,-6.54,-5.04,24.62,12.43,18.97,0.6,1,-5.65,0.6
11_12,1.24231,1.8348799999999998,0.243,0.043,0.083,0.433,-0.575,-7.879,15.45,28.44,-12.99,6.31,9.14,10.2,23.19,-7.74,1,14.05,6.31
12_4,1.28055,1.7699599999999998,0.324,0.005,0.063,0.758,-0.625,-8.04,18.62,18.75,-0.13,-1.72,20.35,8.2,8.33,10.3,1,-12.02,10.3
4_22,1.31025,1.7983799999999999,-0.172,0.099,0.11800000000000001,0.9079999999999999,-0.5710000000000001,-7.763,32.43,33.07,-0.64,2.18,30.25,14.58,15.22,17.21,1,-15.03,17.21
17_6,1.3130899999999999,1.85417,-0.213,0.05,0.091,0.521,-0.581,-7.9220000000000015,30.07,38.24,-8.17,6.62,23.44,14.99,23.16,6.9,1,-0.28,6.9
18_18,1.25435,1.84283,-0.094,0.08900000000000001,0.09300000000000001,0.5489999999999999,-0.5920000000000001,-7.4060000000000015,32.48,41.5,-9.01,14.98,17.51,13.92,22.93,9.55,1,5.43,14.98
5_3,1.2869700000000002,1.77413,-0.121,0.092,0.099,0.5379999999999999,-0.551,-8.103,32.35,35.18,-2.83,11.21,21.14,18.1,20.93,11.42,1,-0.21,11.42
16_16,1.26901,1.86255,-0.094,0.086,0.07400000000000001,0.546,-0.596,-7.257999999999999,31.53,41.92,-10.39,15.49,16.04,12.67,23.06,8.47,1,7.02,15.49
4_12,1.2656100000000001,1.77889,0.165,0.049,0.094,0.8590000000000001,-0.593,-8.107999999999999,14.82,16.91,-2.09,0.57,14.26,10.14,12.23,2.6,1,-2.03,2.6
1_21,1.2826,1.8610900000000001,-0.11699999999999999,0.098,0.114,0.373,-0.591,-7.678,34.86,47.56,-12.7,15.7,19.15,14.71,27.41,7.44,1,8.26,15.7
16_12,1.19432,1.8620400000000001,0.23199999999999998,0.036000000000000004,0.057999999999999996,0.496,-0.6,-7.711,15.25,28.04,-12.78,10.41,4.84,12.17,24.95,-9.7,1,20.11,10.41
1_16,1.27409,1.8626200000000002,-0.11,0.09300000000000001,0.087,0.3670000000000001,-0.599,-7.301,31.3,46.87,-15.58,17.64,13.65,12.02,27.6,3.69,1,13.95,17.64
13_15,1.22071,1.81657,0.042,0.069,0.057999999999999996,0.8009999999999999,-0.622,-7.803,8.26,15.49,-7.23,5.81,2.45,11.74,18.96,-10.7,1,16.51,5.81
13_9,1.37043,1.8116400000000001,-0.24100000000000002,0.12,0.16399999999999998,0.838,-0.6,-8.543,32.59,30.37,2.23,-2.38,34.97,22.82,22.82,9.77,1,-12.15,9.77
4_16,1.30851,1.8046200000000001,-0.151,0.1,0.11800000000000001,0.909,-0.595,-7.5,30.12,31.88,-1.76,7.64,22.48,13.11,14.88,15.24,1,-7.6,15.24
8_12,1.27423,1.79646,0.195,0.07200000000000001,0.15,0.58,-0.534,-8.371,15.97,13.58,2.39,11.16,4.81,13.61,13.61,2.36,1,8.8,11.16
2_17,1.2722799999999999,1.86215,-0.095,0.087,0.07400000000000001,0.555,-0.615,-7.22,28.57,44.46,-15.89,12.77,15.8,10.21,26.1,2.47,1,10.3,12.77
3_10,1.27425,1.8810900000000002,-0.126,0.08800000000000001,0.057999999999999996,0.574,-0.599,-7.34,35.31,41.21,-5.9,20.93,14.38,14.28,20.18,15.12,1,5.81,20.93
13_14,1.0124799999999998,1.7825900000000001,0.19399999999999998,0.047,0.08199999999999999,0.78,-0.612,-7.882999999999999,16.85,21.87,-5.02,2.35,14.5,8.71,13.73,3.13,1,-0.77,3.13
18_10,1.2043700000000002,1.86313,-0.124,0.09,0.081,0.545,-0.595,-7.435,34.96,45.33,-10.37,16.6,18.36,15.24,25.62,9.34,1,7.26,16.6
9_22,1.27356,1.84315,-0.099,0.091,0.141,0.456,-0.52,-7.9110000000000005,30.93,36.46,-5.53,12.49,18.44,16.27,21.8,9.12,1,3.36,12.49
3_4,1.25435,1.8661900000000002,0.35,-0.001,0.055,0.506,-0.579,-7.974,20.77,28.68,-7.91,0.13,20.64,11.75,19.67,1.1,1,-0.98,1.1
22_6,1.3608200000000001,1.86208,-0.212,0.07200000000000001,0.10300000000000001,0.496,-0.589,-7.827000000000001,31.02,34.12,-3.11,8.72,22.29,11.58,14.69,16.33,1,-7.61,16.33
17_9,1.3087600000000001,1.85208,-0.21600000000000005,0.111,0.149,0.565,-0.57,-8.567,33.86,37.56,-3.7,8.8,25.05,24.1,27.81,6.05,1,2.76,8.8
15_19,1.28521,1.83457,-0.106,0.07200000000000001,0.036000000000000004,0.693,-0.667,-7.142,31.19,45.58,-14.38,7.06,24.13,12.77,27.15,4.04,1,3.02,7.06
12_13,1.1207,1.74413,0.19699999999999998,0.043,0.065,0.779,-0.631,-7.835,16.03,17.54,-1.51,4.38,11.65,8.11,9.62,6.41,1,-2.04,6.41
4_4,1.29988,1.62478,0.285,0.018000000000000002,0.114,0.8420000000000001,-0.5770000000000001,-8.486,20.01,18.16,1.85,-9.18,29.19,10.97,10.97,9.04,1,-18.22,9.04
20_11,1.2575399999999999,1.8439900000000002,-0.163,0.099,0.09699999999999999,0.5539999999999999,-0.588,-7.633999999999999,29.35,38.67,-9.32,11.3,18.05,15.49,24.8,4.54,1,6.76,11.3
22_8,1.3401,1.8652400000000002,0.008,0.109,0.19399999999999998,0.516,-0.5479999999999999,-8.943999999999997,33.42,31.25,2.17,-2.63,36.04,26.93,26.93,6.49,1,-9.11,6.49
12_17,1.2973700000000001,1.83795,-0.11699999999999999,0.092,0.077,0.825,-0.644,-7.181,31.09,33.05,-1.96,9.84,21.25,11.17,13.14,17.96,1,-8.12,17.96
12_9,1.36703,1.8284900000000002,-0.24,0.11900000000000001,0.154,0.836,-0.62,-8.645,33.52,29.35,4.16,-2.98,36.5,15.07,15.07,18.45,1,-21.43,18.45
21_17,1.2626700000000002,1.8560900000000002,-0.092,0.085,0.087,0.542,-0.588,-7.354,30.35,39.79,-9.44,17.76,12.59,17.23,26.66,3.69,1,14.08,17.76
7_20,1.27531,1.85415,-0.096,0.084,0.122,0.442,-0.564,-7.1,25.49,31.18,-5.69,18.26,7.23,15.84,21.53,3.97,1,14.3,18.26
3_21,1.2768899999999999,1.8618599999999998,-0.096,0.091,0.091,0.579,-0.595,-7.596,34.81,39.54,-4.74,20.97,13.84,16.75,21.49,13.32,1,7.65,20.97
17_2,1.26257,1.8757700000000002,-0.08800000000000001,0.076,0.03,0.526,-0.618,-7.65,28.22,46.43,-18.21,7.46,20.76,7.43,25.64,2.58,1,4.88,7.46
2_14,1.05377,1.6701099999999998,0.217,0.038,0.062,0.512,-0.5920000000000001,-7.769,17.1,30.83,-13.73,6.67,10.43,10.99,24.72,-7.62,1,14.29,6.67
9_21,1.28035,1.8424,-0.08199999999999999,0.10099999999999999,0.16699999999999998,0.45799999999999996,-0.539,-8.036,32.47,36.63,-4.17,13.73,18.73,20.47,24.64,7.83,1,5.91,13.73
15_12,1.2615100000000001,1.8422,0.23,0.015,0.0,0.644,-0.669,-7.372000000000001,13.8,30.58,-16.78,3.0,10.8,9.22,26.01,-12.21,1,15.21,3.0
2_8,1.32712,1.86598,0.006,0.092,0.18100000000000002,0.545,-0.557,-9.091000000000001,32.02,35.99,-3.97,-2.29,34.31,24.51,28.48,3.54,1,-5.82,3.54
11_5,1.3404,1.85602,-0.13,0.057,0.11800000000000001,0.461,-0.555,-8.14,27.94,36.75,-8.82,0.83,27.11,12.66,21.48,6.46,1,-5.63,6.46
3_16,1.2691700000000001,1.8724,-0.08900000000000001,0.086,0.063,0.573,-0.601,-7.225,30.31,43.0,-12.68,17.95,12.37,12.58,25.27,5.05,1,12.9,17.95
5_2,1.29239,1.7733700000000001,-0.132,0.09300000000000001,0.102,0.526,-0.552,-8.113,33.0,37.31,-4.31,9.61,23.38,10.81,15.12,17.88,1,-8.26,17.88
13_13,1.09279,1.80287,0.195,0.047,0.08,0.78,-0.612,-7.9060000000000015,18.1,21.48,-3.38,4.41,13.68,9.3,12.68,5.41,1,-1.0,5.41
22_9,1.35895,1.86243,-0.222,0.131,0.158,0.544,-0.5770000000000001,-8.504,35.28,33.3,1.98,8.04,27.24,24.56,24.56,10.72,1,-2.69,10.72
15_14,1.10354,1.6589,0.21899999999999997,0.021,0.022000000000000002,0.647,-0.6609999999999999,-7.483,14.81,30.07,-15.27,2.82,11.99,10.54,25.81,-11.0,1,13.82,2.82
21_22,1.26362,1.85339,-0.115,0.083,0.08199999999999999,0.547,-0.565,-7.627999999999999,32.11,40.03,-7.92,16.09,16.02,13.6,21.52,10.6,1,5.49,16.09
21_14,0.9779700000000001,1.7990700000000002,0.225,0.040999999999999995,0.091,0.4970000000000001,-0.58,-7.907999999999999,15.73,25.04,-9.31,8.84,6.89,13.73,23.04,-7.31,1,16.15,8.84
22_16,1.2855299999999998,1.8702599999999998,-0.096,0.111,0.098,0.521,-0.611,-7.212999999999999,28.92,38.97,-10.05,17.39,11.53,8.85,18.9,10.02,1,7.37,17.39
10_4,1.25136,1.81732,0.35600000000000004,0.002,0.071,0.449,-0.594,-8.037,20.82,27.67,-6.86,-1.57,22.39,9.48,16.33,4.48,1,-6.05,4.48
11_17,1.27035,1.8543,-0.076,0.09300000000000001,0.107,0.483,-0.5760000000000001,-7.348,28.94,41.65,-12.71,12.05,16.89,12.35,25.06,3.88,1,8.17,12.05
18_3,1.1810399999999999,1.85753,-0.084,0.076,0.040999999999999995,0.537,-0.607,-7.697,32.17,45.39,-13.22,14.59,17.58,19.37,32.59,-0.42,1,15.01,14.59
15_22,1.27597,1.8137400000000001,-0.114,0.068,0.027999999999999997,0.6970000000000001,-0.655,-7.272,33.61,48.13,-14.52,5.31,28.3,12.03,26.56,7.05,1,-1.74,7.05
8_2,1.29401,1.77855,-0.134,0.113,0.127,0.614,-0.5479999999999999,-8.302999999999999,34.73,32.88,1.85,13.38,21.35,17.56,17.56,17.17,1,-3.8,17.17
21_15,1.16889,1.8644,0.08,0.052000000000000005,0.059000000000000004,0.517,-0.593,-7.572999999999999,8.26,25.25,-16.99,8.4,-0.14,13.31,30.3,-22.03,1,30.43,8.4
5_17,1.2928899999999999,1.7682900000000001,-0.125,0.09699999999999999,0.133,0.536,-0.542,-7.585,29.87,31.99,-2.12,13.68,16.19,14.9,17.02,12.85,1,0.83,13.68
14_19,1.31446,1.8221,-0.129,0.098,0.106,0.8290000000000001,-0.623,-7.372000000000001,27.9,33.66,-5.76,5.83,22.06,11.02,16.78,11.12,1,-5.29,11.12
7_22,1.28695,1.86218,-0.12300000000000001,0.08800000000000001,0.127,0.44799999999999995,-0.529,-7.77,30.42,30.5,-0.08,15.34,15.08,15.42,15.5,14.92,1,0.43,15.34
17_14,0.9844299999999999,1.79003,0.225,0.039,0.077,0.5,-0.589,-7.857,16.59,26.77,-10.18,8.95,7.64,13.44,23.62,-7.02,1,15.98,8.95
18_12,1.15585,1.8346099999999999,0.231,0.036000000000000004,0.064,0.495,-0.596,-7.768,14.83,27.48,-12.65,9.34,5.49,12.35,25.0,-10.17,1,19.51,9.34
9_20,1.26388,1.8342200000000002,-0.069,0.091,0.14,0.44799999999999995,-0.551,-7.162000000000001,24.73,32.64,-7.91,14.66,10.06,15.54,23.45,1.28,1,13.38,14.66
2_4,1.2575399999999999,1.6982700000000002,0.34299999999999997,0.004,0.066,0.489,-0.594,-8.015,19.46,32.27,-12.81,-5.81,25.27,9.24,22.05,-2.59,1,-3.21,-2.59
4_11,1.34591,1.8055,-0.22,0.115,0.141,0.915,-0.581,-8.095,29.37,28.06,1.32,1.15,28.22,16.97,16.97,12.4,1,-11.25,12.4
3_2,1.2626899999999999,1.87663,-0.09699999999999999,0.07400000000000001,0.015,0.5589999999999999,-0.609,-7.569,32.29,43.12,-10.83,16.98,15.31,11.46,22.28,10.01,1,6.97,16.98
14_4,1.21468,1.80102,0.322,0.01,0.08,0.758,-0.605,-8.095,19.13,21.14,-2.02,-4.08,23.2,9.1,11.12,8.01,1,-12.09,8.01
1_11,1.31388,1.60861,-0.183,0.106,0.111,0.377,-0.581,-7.8279999999999985,28.37,40.07,-11.7,11.31,17.07,13.46,25.16,3.21,1,8.09,11.31
12_14,1.06475,1.71018,0.196,0.043,0.066,0.779,-0.631,-7.8020000000000005,16.06,17.62,-1.56,4.2,11.86,8.16,9.73,6.33,1,-2.14,6.33
6_14,1.02509,1.6642700000000001,0.187,0.057,0.142,0.439,-0.523,-8.049,16.65,17.08,-0.43,8.43,8.21,13.02,13.45,3.2,1,5.23,8.43
6_1,1.31994,1.72915,-0.361,0.09699999999999999,0.11900000000000001,0.475,-0.53,-8.612,39.64,40.91,-1.26,9.96,29.68,18.2,19.46,20.18,1,-10.22,20.18
14_13,1.07802,1.8069099999999998,0.195,0.047,0.08199999999999999,0.78,-0.611,-7.925,17.61,21.41,-3.8,1.77,15.84,9.04,12.84,4.77,1,-3.0,4.77
10_10,1.26882,1.86372,-0.11800000000000001,0.09,0.075,0.515,-0.612,-7.386,34.13,44.68,-10.55,15.26,18.88,11.88,22.43,11.71,1,3.55,15.26
7_11,1.32087,1.8667900000000002,-0.175,0.10300000000000001,0.15,0.455,-0.54,-8.135,29.03,24.07,4.96,10.76,18.27,19.81,19.81,9.22,1,1.53,10.76
9_10,1.27398,1.8586200000000002,-0.109,0.098,0.142,0.45,-0.546,-7.831,32.94,39.24,-6.3,13.39,19.55,18.35,24.64,8.3,1,5.09,13.39
9_14,1.04431,1.68641,0.235,0.051,0.147,0.40700000000000003,-0.536,-8.061,15.97,21.07,-5.11,7.97,8.0,13.83,18.93,-2.96,1,10.93,7.97
13_12,1.18023,1.8173400000000002,0.201,0.042,0.062,0.7759999999999999,-0.62,-7.769,15.15,20.61,-5.46,1.94,13.21,8.65,14.11,1.04,1,0.9,1.94
8_11,1.3397299999999999,1.80498,-0.193,0.13,0.182,0.64,-0.515,-8.298,30.67,23.35,7.33,5.31,25.36,23.96,23.96,6.72,1,-1.4,6.72
8_10,1.30215,1.7963099999999999,-0.156,0.122,0.155,0.629,-0.534,-7.923999999999999,34.34,29.52,4.82,13.94,20.4,21.96,21.96,12.38,1,1.56,13.94
13_16,1.30017,1.8290099999999998,-0.121,0.096,0.09,0.826,-0.623,-7.287000000000001,29.19,34.26,-5.06,7.26,21.93,9.58,14.64,14.55,1,-7.29,14.55
9_13,1.12628,1.7196900000000002,0.237,0.051,0.145,0.40700000000000003,-0.536,-8.139,16.42,22.2,-5.78,8.28,8.14,14.02,19.81,-3.39,1,11.67,8.28
9_6,1.35131,1.8411,-0.218,0.063,0.16,0.43,-0.526,-8.422,30.45,32.38,-1.93,3.31,27.14,17.8,19.73,10.72,1,-7.41,10.72
7_6,1.3583399999999999,1.86139,-0.239,0.055999999999999994,0.14300000000000002,0.42200000000000004,-0.54,-8.329,30.61,26.98,3.62,5.14,25.46,18.21,18.21,12.4,1,-7.26,12.4
5_21,1.3060200000000002,1.7715900000000002,-0.126,0.105,0.159,0.5379999999999999,-0.5379999999999999,-7.959,33.27,34.52,-1.25,11.56,21.71,18.29,19.54,13.73,1,-2.17,13.73
12_6,1.37134,1.8387099999999998,-0.245,0.057,0.085,0.8,-0.627,-7.891,27.72,26.92,0.8,0.37,27.35,9.97,9.97,17.75,1,-17.38,17.75
10_18,1.2696399999999999,1.85359,-0.085,0.08900000000000001,0.08800000000000001,0.518,-0.612,-7.3770000000000024,31.13,41.38,-10.25,15.14,15.99,11.52,21.78,9.35,1,5.79,15.14
8_1,1.32307,1.6869999999999998,-0.3670000000000001,0.113,0.136,0.609,-0.535,-8.747,42.43,37.69,4.74,4.34,38.09,23.67,23.67,18.76,1,-14.42,18.76
22_19,1.29139,1.8664599999999998,-0.113,0.107,0.094,0.523,-0.604,-7.409,32.35,38.42,-6.07,20.32,12.02,14.69,20.76,11.59,1,8.74,20.32
20_4,1.2024299999999999,1.84073,0.349,0.001,0.064,0.479,-0.588,-7.7570000000000014,19.02,28.2,-9.18,-5.24,24.26,11.42,20.6,-1.58,1,-3.65,-1.58
16_7,1.3004200000000001,1.859,-0.225,0.09,0.115,0.547,-0.583,-8.639,37.47,43.07,-5.6,7.59,29.89,24.54,30.14,7.33,1,0.25,7.59
14_18,1.30408,1.8301900000000002,-0.12300000000000001,0.098,0.1,0.828,-0.621,-7.4289999999999985,30.57,34.4,-3.83,6.92,23.65,9.9,13.73,16.84,1,-9.92,16.84
12_20,1.29277,1.8302,-0.114,0.09,0.067,0.8240000000000001,-0.645,-6.811,27.89,32.11,-4.22,10.88,17.02,9.38,13.59,14.3,1,-3.42,14.3
6_15,1.32192,1.74997,0.032,0.077,0.115,0.49,-0.529,-8.211,7.57,12.1,-4.53,8.67,-1.09,15.33,19.86,-12.29,1,20.95,8.67
2_1,1.29366,1.66193,-0.335,0.077,0.040999999999999995,0.531,-0.616,-8.016,34.77,52.01,-17.24,3.07,31.7,7.88,25.12,9.66,1,-6.59,9.66
5_6,1.375,1.77637,-0.257,0.066,0.151,0.503,-0.527,-8.329,30.41,29.44,0.96,0.9,29.51,15.99,15.99,14.42,1,-13.52,14.42
9_18,1.2739,1.8231400000000002,-0.076,0.098,0.152,0.45299999999999996,-0.545,-7.76,30.73,35.39,-4.66,15.23,15.5,18.42,23.08,7.65,1,7.58,15.23
14_2,1.29488,1.80197,-0.129,0.086,0.046,0.81,-0.631,-7.76,31.92,38.66,-6.73,2.73,29.19,8.78,15.51,16.41,1,-13.68,16.41
15_2,1.23816,1.85493,-0.096,0.055999999999999994,-0.017,0.6809999999999999,-0.679,-7.3770000000000024,32.25,49.84,-17.59,-1.24,33.5,9.45,27.04,5.22,1,-6.46,5.22
10_7,1.32907,1.87713,-0.21899999999999997,0.08900000000000001,0.113,0.516,-0.595,-8.685,36.74,41.28,-4.53,-2.26,39.01,21.59,26.12,10.62,1,-12.89,10.62
16_6,1.31376,1.8582599999999998,-0.213,0.051,0.091,0.521,-0.581,-7.904,29.91,38.36,-8.45,6.12,23.78,14.82,23.27,6.63,1,-0.51,6.63
17_3,1.22419,1.8672,-0.083,0.075,0.035,0.537,-0.611,-7.664,32.4,45.16,-12.76,15.86,16.53,18.86,31.62,0.78,1,15.08,15.86
18_15,1.14012,1.8600700000000001,0.081,0.051,0.05,0.52,-0.598,-7.47,7.89,21.58,-13.69,7.7,0.19,13.21,26.9,-19.01,1,26.71,7.7
21_18,1.2719799999999999,1.84938,-0.09300000000000001,0.08900000000000001,0.099,0.545,-0.5870000000000001,-7.484,32.77,40.34,-7.57,15.69,17.07,18.04,25.62,7.15,1,8.55,15.69
13_2,1.29455,1.80486,-0.128,0.086,0.044000000000000004,0.81,-0.632,-7.7360000000000015,32.48,38.72,-6.24,3.72,28.76,9.01,15.25,17.23,1,-13.51,17.23
13_17,1.30063,1.83201,-0.11900000000000001,0.094,0.08900000000000001,0.8270000000000001,-0.624,-7.2570000000000014,30.25,33.8,-3.55,8.86,21.4,11.04,14.58,15.67,1,-6.82,15.67
13_8,1.3505200000000002,1.80177,-0.012,0.10099999999999999,0.19899999999999998,0.8140000000000001,-0.575,-8.559,32.99,28.2,4.79,-10.18,43.17,27.06,27.06,5.93,1,-16.11,5.93
21_8,1.2717200000000002,1.8499,0.008,0.09,0.19399999999999998,0.537,-0.532,-9.24,33.72,34.13,-0.41,-2.09,35.81,29.75,30.16,3.56,1,-5.65,3.56
2_18,1.27573,1.82915,-0.098,0.09,0.083,0.557,-0.613,-7.3660000000000005,31.06,45.7,-14.64,13.31,17.75,11.26,25.9,5.17,1,8.14,13.31
7_4,1.2717399999999999,1.84843,0.336,0.01,0.13,0.377,-0.542,-8.523,22.06,20.11,1.95,-7.65,29.71,13.77,13.77,8.28,1,-15.94,8.28
15_5,1.31371,1.8525,-0.138,0.032,0.046,0.667,-0.6579999999999999,-7.705,24.74,37.78,-13.04,1.02,23.73,12.17,25.2,-0.46,1,1.48,1.02
17_16,1.2679799999999999,1.86005,-0.09300000000000001,0.085,0.073,0.546,-0.596,-7.276,31.56,42.45,-10.89,15.13,16.43,13.17,24.06,7.5,1,7.64,15.13
9_7,1.33713,1.84476,-0.212,0.1,0.17600000000000002,0.456,-0.523,-9.269,41.69,39.67,2.02,-9.24,50.93,30.79,30.79,10.9,1,-20.14,10.9
21_16,1.25995,1.8580599999999998,-0.09300000000000001,0.086,0.087,0.542,-0.5870000000000001,-7.377999999999999,31.25,40.59,-9.34,18.06,13.19,13.31,22.66,8.59,1,9.47,18.06
19_22,1.19871,1.8583,-0.11199999999999999,0.08800000000000001,0.084,0.5429999999999999,-0.5710000000000001,-7.602,32.21,42.4,-10.19,14.58,17.63,12.28,22.47,9.74,1,4.84,14.58
14_16,1.3006,1.82538,-0.121,0.096,0.091,0.826,-0.622,-7.305,30.17,33.91,-3.74,9.16,21.01,10.89,14.63,15.54,1,-6.37,15.54
6_6,1.37485,1.76017,-0.257,0.067,0.157,0.45799999999999996,-0.519,-8.354,30.83,28.7,2.13,3.22,27.61,16.91,16.91,13.92,1,-10.7,13.92
3_7,1.33245,1.87153,-0.225,0.087,0.1,0.573,-0.584,-8.626,37.58,35.29,2.29,6.17,31.41,25.44,25.44,12.14,1,-5.97,12.14
3_14,1.03688,1.71416,0.22399999999999998,0.037000000000000005,0.057,0.528,-0.586,-7.754,18.11,27.71,-9.6,13.48,4.64,13.49,23.09,-4.98,1,18.45,13.48
3_3,1.25668,1.88205,-0.08199999999999999,0.073,0.013999999999999999,0.565,-0.612,-7.58,33.92,38.5,-4.58,18.47,15.45,19.13,23.71,10.21,1,8.26,18.47
2_22,1.27099,1.86139,-0.12,0.08199999999999999,0.062,0.5579999999999999,-0.581,-7.485,30.71,44.5,-13.8,10.86,19.85,13.01,26.81,3.9,1,6.96,10.86
21_1,1.24308,1.86316,-0.33,0.078,0.063,0.519,-0.593,-8.203,37.51,47.62,-10.11,9.93,27.58,13.47,23.57,13.93,1,-4.01,13.93
4_13,1.1546399999999999,1.68917,0.159,0.053,0.11199999999999999,0.865,-0.584,-8.087,17.76,18.69,-0.93,0.76,17.0,11.1,12.03,5.73,1,-4.97,5.73
11_15,1.30017,1.86018,0.07200000000000001,0.083,0.08800000000000001,0.45799999999999996,-0.6,-7.891,8.83,23.3,-14.47,8.63,0.2,14.67,29.14,-20.31,1,28.94,8.63
22_20,1.28108,1.8580900000000002,-0.092,0.10800000000000001,0.091,0.519,-0.615,-6.827000000000001,26.1,37.28,-11.17,16.81,9.29,8.45,19.62,6.48,1,10.33,16.81
22_3,1.27265,1.87555,-0.09,0.098,0.051,0.511,-0.623,-7.563,31.36,42.33,-10.97,15.64,15.72,13.56,24.53,6.83,1,8.81,15.64
8_3,1.2875299999999998,1.80585,-0.12300000000000001,0.109,0.125,0.623,-0.5479999999999999,-8.282,31.89,29.78,2.11,10.42,21.47,20.67,20.67,11.22,1,-0.8,11.22
14_7,1.3609799999999999,1.8183799999999999,-0.253,0.099,0.13,0.823,-0.609,-8.397,37.44,35.59,1.85,-5.46,42.9,22.29,22.29,15.15,1,-20.61,15.15
17_11,1.2750700000000001,1.8582400000000001,-0.16399999999999998,0.1,0.105,0.555,-0.5820000000000001,-7.772,29.18,37.46,-8.27,11.35,17.84,16.1,24.37,4.82,1,6.53,11.35
22_11,1.32423,1.86863,-0.171,0.121,0.11699999999999999,0.532,-0.59,-7.672999999999999,30.39,34.0,-3.61,13.53,16.86,14.18,17.79,12.6,1,0.93,13.53
10_9,1.34148,1.8697700000000002,-0.21100000000000002,0.109,0.15,0.534,-0.583,-8.597000000000001,33.18,36.08,-2.89,8.48,24.7,21.57,24.47,8.72,1,-0.23,8.72
1_13,1.1150200000000001,1.67085,0.20199999999999999,0.045,0.08199999999999999,0.32299999999999995,-0.589,-7.883999999999999,16.67,32.69,-16.02,7.65,9.01,10.48,26.5,-9.83,1,17.48,7.65
19_11,1.22244,1.8640700000000001,-0.16399999999999998,0.102,0.11,0.5529999999999999,-0.568,-7.803,29.28,37.32,-8.04,7.76,21.52,14.49,22.54,6.74,1,1.02,7.76
9_17,1.26993,1.8451099999999998,-0.073,0.09300000000000001,0.14800000000000002,0.45,-0.5479999999999999,-7.601,27.67,34.56,-6.88,13.49,14.18,16.18,23.06,4.61,1,8.88,13.49
12_12,1.25975,1.82665,0.203,0.039,0.046,0.775,-0.64,-7.684,15.04,18.2,-3.16,4.7,10.34,7.59,10.75,4.29,1,0.41,4.7
16_13,1.0386799999999998,1.7988400000000002,0.225,0.04,0.075,0.5,-0.589,-7.876,16.71,27.86,-11.15,9.03,7.68,13.15,24.3,-7.59,1,16.62,9.03
16_3,1.22519,1.8710099999999998,-0.083,0.076,0.035,0.5379999999999999,-0.611,-7.643,32.2,45.96,-13.76,14.6,17.6,19.28,33.03,-0.83,1,15.44,14.6
7_7,1.3446,1.86325,-0.239,0.094,0.162,0.44799999999999995,-0.5379999999999999,-9.186,43.57,36.71,6.86,-4.27,47.84,32.63,32.63,10.94,1,-15.21,10.94
3_12,1.2353299999999998,1.8707099999999999,0.23199999999999998,0.033,0.036000000000000004,0.523,-0.597,-7.636,17.07,30.81,-13.73,12.49,4.59,11.77,25.51,-8.43,1,20.92,12.49
14_11,1.33697,1.81014,-0.191,0.109,0.11800000000000001,0.831,-0.609,-7.8610000000000015,27.95,29.65,-1.7,3.93,24.02,11.55,13.25,14.7,1,-10.77,14.7
4_20,1.3040200000000002,1.7946099999999998,-0.147,0.096,0.10800000000000001,0.9079999999999999,-0.597,-7.0429999999999975,28.27,29.3,-1.03,10.93,17.33,14.15,15.18,13.09,1,-2.15,13.09
16_14,0.9903,1.7747700000000002,0.22399999999999998,0.04,0.077,0.5,-0.589,-7.838999999999999,16.56,24.7,-8.14,11.07,5.49,13.06,21.2,-4.64,1,15.71,11.07
16_11,1.2771700000000001,1.86391,-0.16399999999999998,0.10099999999999999,0.10400000000000001,0.555,-0.5820000000000001,-7.755,29.31,37.57,-8.27,11.48,17.82,15.88,24.14,5.16,1,6.32,11.48
21_19,1.20497,1.8591099999999998,-0.10400000000000001,0.09,0.096,0.544,-0.59,-7.581,30.63,40.13,-9.5,16.43,14.2,15.91,25.42,5.22,1,11.21,16.43
17_13,1.0392299999999999,1.8088400000000002,0.226,0.039,0.076,0.5,-0.589,-7.893,16.55,27.26,-10.72,9.24,7.31,12.87,23.58,-7.04,1,16.28,9.24
20_8,1.25281,1.8423,0.011000000000000001,0.08800000000000001,0.174,0.537,-0.551,-7.956,32.76,36.39,-3.63,0.77,31.99,18.58,22.21,10.55,1,-9.78,10.55
14_8,1.35125,1.7983900000000002,-0.013000000000000001,0.10099999999999999,0.2,0.8140000000000001,-0.573,-8.451,33.05,28.24,4.81,-10.71,43.76,27.45,27.45,5.6,1,-16.31,5.6
14_12,1.21109,1.80951,0.2,0.042,0.062,0.7759999999999999,-0.619,-7.822,13.61,19.87,-6.26,1.0,12.61,7.32,13.58,0.03,1,0.97,1.0
2_11,1.30995,1.87254,-0.17,0.10099999999999999,0.098,0.564,-0.596,-7.7410000000000005,27.19,38.34,-11.15,9.54,17.65,12.09,23.24,3.95,1,5.59,9.54
15_3,1.2447700000000002,1.85326,-0.08800000000000001,0.057999999999999996,-0.018000000000000002,0.6890000000000001,-0.682,-7.364,32.84,48.65,-15.81,6.02,26.81,13.71,29.52,3.31,1,2.71,6.02
