name,pz_C2_pop,px_O_pop,NBO_C_diazo,NBO_N1,NBO_N2,NBO_C_carbonyl,NBO_O,HOMO,ΔG,ΔG_fromAdd,adduct,ΔG-ΔG_O,ΔG_O,ΔG_C_fromDiazo,ΔG_C,ΔG-ΔG_C,BCl3_Role,ΔΔG,Overall performance
18_21,1.25758,1.85112,-0.099,0.091,0.10800000000000001,0.552,-0.586,-7.654,33.66,40.63,-6.97,14.97,18.69,16.81,23.78,9.88,1,5.09,14.97
11_21,1.27896,1.85107,-0.084,0.099,0.132,0.49,-0.5670000000000001,-7.754,33.28,43.52,-10.24,12.49,20.79,15.58,25.82,7.46,1,5.02,12.49
4_17,1.3090899999999999,1.8029700000000002,-0.15,0.099,0.11800000000000001,0.909,-0.595,-7.465,28.97,31.12,-2.15,7.4,21.57,12.46,14.61,14.36,1,-6.96,14.36
1_9,1.34982,1.58684,-0.23600000000000002,0.11800000000000001,0.156,0.387,-0.5660000000000001,-8.693,34.13,42.17,-8.04,-1.45,35.57,22.88,30.92,3.21,1,-4.65,3.21
3_1,1.2927,1.7991099999999998,-0.331,0.075,0.03,0.5489999999999999,-0.603,-7.962999999999999,35.24,50.48,-15.24,8.04,27.2,10.38,25.62,9.62,1,-1.58,9.62
5_11,1.33626,1.77852,-0.19,0.114,0.159,0.537,-0.527,-8.138,29.85,29.32,0.53,8.28,21.57,17.78,17.78,12.07,1,-3.79,12.07
8_17,1.30007,1.79899,-0.121,0.11800000000000001,0.162,0.629,-0.536,-7.682,28.65,25.83,2.82,16.15,12.5,18.15,18.15,10.5,1,5.65,16.15
15_11,1.29187,1.85063,-0.168,0.087,0.065,0.6990000000000001,-0.66,-7.54,28.65,42.16,-13.51,3.44,25.21,13.63,27.14,1.51,1,1.93,3.44
6_8,1.35521,1.75774,-0.02,0.098,0.24100000000000002,0.469,-0.48100000000000004,-9.617,36.51,28.94,7.57,-8.01,44.51,33.08,33.08,3.43,1,-11.43,3.43
2_21,1.27957,1.8577099999999998,-0.102,0.094,0.102,0.561,-0.608,-7.6179999999999986,31.43,44.78,-13.35,12.31,19.12,11.46,24.8,6.62,1,5.68,12.31
7_13,1.09702,1.7428,0.21100000000000002,0.044000000000000004,0.128,0.39899999999999997,-0.5479999999999999,-8.08,16.73,16.12,0.62,14.07,2.66,14.01,14.01,2.72,1,11.35,14.07
20_10,1.23001,1.8577700000000001,-0.122,0.08900000000000001,0.069,0.545,-0.605,-7.318,35.07,46.59,-11.52,16.45,18.63,14.37,25.9,9.18,1,7.27,16.45
22_4,1.27273,1.87346,0.34299999999999997,0.027000000000000003,0.085,0.456,-0.589,-7.94,21.57,25.33,-3.76,-0.67,22.24,8.52,12.27,9.3,1,-9.96,9.3
3_20,1.26486,1.85643,-0.085,0.08199999999999999,0.054000000000000006,0.5720000000000001,-0.603,-6.834,27.92,41.5,-13.58,18.46,9.46,12.49,26.07,1.85,1,16.61,18.46
